FechaID,Fecha,Anio,Mes,NombreMes,Trimestre,Dia
1,2017-01-01,2017,1,January,Qtr 1,1
2,2017-01-02,2017,1,January,Qtr 1,2
3,2017-01-03,2017,1,January,Qtr 1,3
4,2017-01-04,2017,1,January,Qtr 1,4
5,2017-01-05,2017,1,January,Qtr 1,5
6,2017-01-06,2017,1,January,Qtr 1,6
7,2017-01-07,2017,1,January,Qtr 1,7
8,2017-01-08,2017,1,January,Qtr 1,8
9,2017-01-09,2017,1,January,Qtr 1,9
10,2017-01-10,2017,1,January,Qtr 1,10
11,2017-01-11,2017,1,January,Qtr 1,11
12,2017-01-12,2017,1,January,Qtr 1,12
13,2017-01-13,2017,1,January,Qtr 1,13
14,2017-01-14,2017,1,January,Qtr 1,14
15,2017-01-15,2017,1,January,Qtr 1,15
16,2017-01-16,2017,1,January,Qtr 1,16
17,2017-01-17,2017,1,January,Qtr 1,17
18,2017-01-18,2017,1,January,Qtr 1,18
19,2017-01-19,2017,1,January,Qtr 1,19
20,2017-01-20,2017,1,January,Qtr 1,20
21,2017-01-21,2017,1,January,Qtr 1,21
22,2017-01-22,2017,1,January,Qtr 1,22
23,2017-01-23,2017,1,January,Qtr 1,23
24,2017-01-24,2017,1,January,Qtr 1,24
25,2017-01-25,2017,1,January,Qtr 1,25
26,2017-01-26,2017,1,January,Qtr 1,26
27,2017-01-27,2017,1,January,Qtr 1,27
28,2017-01-28,2017,1,January,Qtr 1,28
29,2017-01-29,2017,1,January,Qtr 1,29
30,2017-01-30,2017,1,January,Qtr 1,30
31,2017-01-31,2017,1,January,Qtr 1,31
32,2017-02-01,2017,2,February,Qtr 1,1
33,2017-02-02,2017,2,February,Qtr 1,2
34,2017-02-03,2017,2,February,Qtr 1,3
35,2017-02-04,2017,2,February,Qtr 1,4
36,2017-02-05,2017,2,February,Qtr 1,5
37,2017-02-06,2017,2,February,Qtr 1,6
38,2017-02-07,2017,2,February,Qtr 1,7
39,2017-02-08,2017,2,February,Qtr 1,8
40,2017-02-09,2017,2,February,Qtr 1,9
41,2017-02-10,2017,2,February,Qtr 1,10
42,2017-02-11,2017,2,February,Qtr 1,11
43,2017-02-12,2017,2,February,Qtr 1,12
44,2017-02-13,2017,2,February,Qtr 1,13
45,2017-02-14,2017,2,February,Qtr 1,14
46,2017-02-15,2017,2,February,Qtr 1,15
47,2017-02-16,2017,2,February,Qtr 1,16
48,2017-02-17,2017,2,February,Qtr 1,17
