FactID,FechaID,ClienteID,SegmentoID,CiudadID,ComercialID,ProyectoID,Ventas,Costos,Gastos,Utilidad,RentabilidadPorcentaje,MateriaPrima,ManoObra,CostosIndirectos
1,504,10,5,7,4,55,305982.22,251443.6,81862.39,-27323.77,-8.93,159954.39,43990.19,47499.01
2,888,1,7,8,4,75,2459188.58,712385.23,285792.05,1461011.3,59.41,547585.09,151034.23,13765.91
3,888,9,8,4,3,11,176542.21,74251.6,41179.35,61111.26,34.62,53339.28,13692.0,7220.33
4,385,9,5,8,4,31,65180.93,35925.54,3110.34,26145.05,40.11,24705.69,4041.46,7178.4
5,1155,2,2,6,3,90,370721.58,262713.03,33899.65,74108.9,19.99,153919.44,33584.45,75209.14
6,1004,9,6,8,4,84,40015.33,12877.14,10036.15,17102.04,42.74,7544.44,1711.36,3621.34
7,64,2,2,6,5,34,45803.33,39814.02,1469.02,4520.29,9.87,22429.6,5521.39,11863.03
8,1385,10,8,9,3,54,68480.39,33339.68,7466.44,27674.27,40.41,24978.77,6161.52,2199.38
9,581,2,4,5,2,85,272717.54,134936.13,195582.44,-57801.03,-21.19,92870.66,23694.09,18371.38
10,727,1,4,3,5,94,125624.8,42921.85,19760.89,62942.06,50.1,30597.13,5600.19,6724.54
11,646,6,5,4,5,42,1120982.7,381389.77,58858.65,680734.28,60.73,211570.04,42003.69,127816.05
12,719,8,1,4,3,3,1287148.89,384547.88,163745.08,738855.93,57.4,297285.99,48343.37,38918.52
13,1446,6,3,3,5,97,283669.02,134454.08,40076.69,109138.25,38.47,99692.57,33298.52,1462.99
14,1456,4,8,7,2,11,33667.65,25402.52,4019.97,4245.16,12.61,15211.99,4325.59,5864.93
15,623,1,5,3,5,17,133986.9,117661.97,18832.43,-2507.5,-1.87,69634.68,27074.23,20953.06
16,1264,10,8,4,5,49,536147.86,445666.89,45311.9,45169.07,8.42,263916.37,101305.82,80444.7
17,552,9,6,5,3,1,950419.28,290032.39,73245.66,587141.23,61.78,179813.04,51256.82,58962.53
18,621,7,6,9,5,1,81863.81,49160.28,1796.4,30907.13,37.75,32971.5,10127.17,6061.6
19,1056,6,6,8,2,31,287571.56,88435.5,16245.67,182890.39,63.6,57425.36,11400.47,19609.67
